ACC_TIME	ACC_X	ACC_Y	ACC_Z	GYRO_X	GYRO_Y	GYRO_Z
1700000000000	1917	-2208	-38	-69	-42	15
1700000000010	1915	-2204	-44	-59	-33	23
1700000000020	1922	-2208	-54	-67	-43	25
1700000000030	1909	-2205	-41	-74	-38	11
1700000000040	1932	-2201	-41	-69	-39	12
1700000000050	1921	-2194	-33	-60	-34	19
1700000000060	1911	-2215	-40	-69	-41	8
1700000000070	1937	-2199	-45	-74	-40	2
1700000000080	1919	-2213	-47	-73	-35	12
1700000000090	1912	-2210	-41	-57	-41	7
1700000000100	1921	-2197	-53	-61	-37	10
1700000000110	1919	-2194	-37	-57	-41	11
1700000000120	1922	-2211	-40	-71	-41	15
1700000000130	1927	-2202	-33	-53	-32	14
1700000000140	1920	-2208	-35	-61	-34	15
1700000000150	1922	-2206	-32	-65	-31	2
1700000000160	1930	-2203	-38	-67	-35	13
1700000000170	1916	-2204	-38	-71	-37	13
1700000000180	1927	-2212	-50	-57	-32	19
1700000000190	1928	-2201	-45	-68	-40	19
1700000000200	1927	-2201	-33	-60	-38	10
1700000000210	1927	-2201	-34	-65	-21	16
1700000000220	1928	-2191	-37	-62	-34	5
1700000000230	1931	-2210	-38	-66	-34	14
1700000000240	1933	-2201	-36	-60	-47	20
1700000000250	1925	-2199	-29	-66	-30	22
1700000000260	1921	-2204	-40	-66	-30	17
1700000000270	1935	-2199	-35	-57	-33	10
1700000000280	1929	-2209	-36	-71	-42	9
1700000000290	1922	-2207	-43	-68	-37	-2
1700000000300	1934	-2209	-33	-52	-35	18
1700000000310	1929	-2203	-42	-67	-57	11
1700000000320	1941	-2196	-47	-49	-35	20
1700000000330	1940	-2193	-50	-68	-45	24
1700000000340	1937	-2193	-40	-64	-29	24
1700000000350	1932	-2193	-37	-58	-36	12
1700000000360	1931	-2193	-41	-59	-27	7
1700000000370	1947	-2196	-43	-58	-29	22
1700000000380	1931	-2190	-48	-57	-37	16
1700000000390	1930	-2179	-41	-66	-39	14
1700000000400	1938	-2192	-33	-64	-27	6
1700000000410	1950	-2197	-43	-61	-34	12
1700000000420	1930	-2193	-39	-59	-30	15
1700000000430	1936	-2194	-43	-61	-32	19
1700000000440	1943	-2195	-38	-56	-34	8
1700000000450	1936	-2197	-41	-68	-33	17
1700000000460	1936	-2194	-38	-60	-31	18
1700000000470	1944	-2183	-49	-65	-32	19
1700000000480	1944	-2187	-41	-70	-25	9
1700000000490	1944	-2194	-34	-52	-40	12
1700000000500	1948	-2194	-35	-52	-37	14
1700000000510	1938	-2210	-45	-53	-27	20
1700000000520	1938	-2182	-45	-55	-33	22
1700000000530	1941	-2195	-49	-54	-24	14
1700000000540	1950	-2193	-36	-56	-33	15
1700000000550	1937	-2190	-30	-58	-45	15
1700000000560	1939	-2195	-47	-53	-29	16
1700000000570	1941	-2195	-36	-44	-31	21
1700000000580	1945	-2194	-43	-52	-30	14
1700000000590	1954	-2183	-23	-50	-32	15
1700000000600	1950	-2186	-46	-59	-26	12
1700000000610	1938	-2193	-47	-53	-43	12
1700000000620	1948	-2186	-41	-56	-30	14
1700000000630	1950	-2181	-32	-49	-40	20
1700000000640	1952	-2195	-39	-63	-42	18
1700000000650	1956	-2190	-35	-61	-30	13
1700000000660	1946	-2188	-41	-57	-32	17
1700000000670	1946	-2180	-54	-53	-31	16
